CODGEO,LIBGEO,APL_MEDECINS,Pop_standardisee,CLASSE_ACCESSIBILITE
01264,Montracol,2.51,988.258,Faible
01265,Montréal-la-Cluse,2.003,3482.045,Faible
01266,Montrevel-en-Bresse,2.503,2798.426,Faible
01267,Nurieux-Volognat,2.703,985.587,Moyenne
01268,Murs-et-Gélignieux,1.976,244.157,Faible
01269,Nantua,1.383,3439.521,Très faible
01272,Neuville-les-Dames,2.216,1584.918,Faible
01273,Neuville-sur-Ain,3.334,1746.207,Élevée
01274,Les Neyrolles,1.548,593.632,Très faible
01275,Neyron,2.327,2528.6,Faible
01276,Niévroz,3.579,1551.721,Élevée
01277,Nivollet-Montgriffon,1.065,115.877,Très faible
01279,Oncieu,1.147,81.245,Très faible
01280,Ordonnaz,0.006,142.12,Très faible
01281,Ornex,2.291,4361.904,Faible
01282,Outriaz,1.133,254.31,Très faible
01283,Oyonnax,2.636,21723.892,Moyenne
01284,Ozan,1.445,699.422,Très faible
01285,Parcieux,3.996,1255.752,Très élevée
01286,Parves et Nattages,1.938,984.492,Faible
01288,Péron,1.159,2599.966,Très faible
01289,Péronnas,2.961,6780.138,Moyenne
01290,Pérouges,2.737,1392.433,Moyenne
01291,Perrex,1.686,863.024,Très faible
01293,Peyriat,1.791,154.164,Très faible
01294,Peyrieu,2.748,893.021,Moyenne
01295,Peyzieux-sur-Saône,1.912,602.533,Très faible
01296,Pirajoux,2.753,391.058,Moyenne
01297,Pizay,2.093,869.779,Faible
01298,Plagne,0.0,163.834,Très faible
01299,Le Plantay,3.039,564.6,Moyenne
01301,Polliat,2.664,2693.332,Moyenne
01302,Pollieu,4.33,184.95,Très élevée
01303,Poncin,2.597,1716.884,Faible
01304,Pont-d'Ain,4.054,2857.988,Très élevée
01305,Pont-de-Vaux,2.122,2452.556,Faible
01306,Pont-de-Veyle,4.02,1724.725,Très élevée
01307,Port,2.269,857.414,Faible
01308,Pougny,1.094,771.334,Très faible
01309,Pouillat,1.598,87.14,Très faible
01310,Prémeyzel,1.375,240.916,Très faible
01311,Prémillieu,0.566,44.557,Très faible
01313,Prévessin-Moëns,1.933,8216.807,Faible
01314,Priay,2.966,1719.625,Moyenne
01317,Ramasse,2.919,317.625,Moyenne
01318,Rancé,3.284,694.468,Élevée
01319,Relevant,2.174,460.971,Faible
01320,Replonges,3.727,3852.339,Élevée
01321,Revonnas,4.027,848.247,Très élevée
01322,Reyrieux,2.734,5047.255,Moyenne
01323,Reyssouze,1.941,1040.735,Faible
01325,Rignieux-le-Franc,1.896,1079.694,Très faible
01328,Romans,2.524,638.769,Faible
01329,Rossillon,1.517,161.189,Très faible
01330,Ruffieu,1.078,194.496,Très faible
01331,Saint-Alban,1.405,198.937,Très faible
01332,Saint-André-de-Bâgé,3.371,778.654,Élevée
01333,Saint-André-de-Corcy,2.849,3426.425,Moyenne
01334,Saint-André-d'Huiriat,2.036,639.919,Faible
01335,Saint-André-le-Bouchoux,2.374,384.431,Faible
01336,Saint-André-sur-Vieux-Jonc,2.13,1171.959,Faible
01337,Saint-Bénigne,1.694,1337.592,Très faible
01338,Groslée-Saint-Benoit,1.146,1240.468,Très faible
01339,Saint-Bernard,5.045,1589.537,Très élevée
01342,Sainte-Croix,2.102,516.899,Faible
01343,Saint-Cyr-sur-Menthon,3.175,1780.564,Moyenne
01344,Saint-Denis-lès-Bourg,3.432,6280.306,Élevée
01345,Saint-Denis-en-Bugey,4.222,2221.051,Très élevée
01346,Saint-Didier-d'Aussiat,1.79,839.034,Très faible
01347,Saint-Didier-de-Formans,3.261,2080.501,Élevée
01348,Saint-Didier-sur-Chalaronne,2.289,3002.282,Faible
01349,Saint-Éloi,2.874,519.037,Moyenne
01350,Saint-Étienne-du-Bois,3.178,2628.574,Moyenne
01351,Saint-Étienne-sur-Chalaronne,1.752,1539.84,Très faible
01352,Saint-Étienne-sur-Reyssouze,1.3,571.588,Très faible
01353,Sainte-Euphémie,3.379,1607.847,Élevée
01354,Saint-Genis-Pouilly,1.887,13119.052,Très faible
